Address,Description,Value
40152,"GEN 6:15","And this is the fash"
40153,"GEN 6:16","A window shalt thou "
40154,"GEN 6:17","And, behold, I, even"
40155,"GEN 6:18","But with thee will I"
40156,"GEN 6:19","And of every living "
40157,"GEN 6:20","Of fowls after their"
40158,"GEN 6:21","And take thou unto t"
40159,"GEN 6:22","Thus did Noah; accor"
40160,"GEN 7:1","And the LORD said un"
40161,"GEN 7:2","Of every clean beast"
40162,"GEN 7:3","Of fowls also of the"
40163,"GEN 7:4","For yet seven days, "
40164,"GEN 7:5","And Noah did accordi"
40165,"GEN 7:6","And Noah was six hun"
40166,"GEN 7:7","And Noah went in, an"
40167,"GEN 7:8","Of clean beasts, and"
40168,"GEN 7:9","There went in two an"
40169,"GEN 7:10","And it came to pass "
40170,"GEN 7:11","In the six hundredth"
40171,"GEN 7:12","And the rain was upo"
40172,"GEN 7:13","In the selfsame day "
40173,"GEN 7:14","They, and every beas"
40174,"GEN 7:15","And they went in unt"
40175,"GEN 7:16","And they that went i"
40176,"GEN 7:17","And the flood was fo"
40177,"GEN 7:18","And the waters preva"
40178,"GEN 7:19","And the waters preva"
40179,"GEN 7:20","Fifteen cubits upwar"
40180,"GEN 7:21","And all flesh died t"
40181,"GEN 7:22","All in whose nostril"
40182,"GEN 7:23","And every living sub"
40183,"GEN 7:24","And the waters preva"
40184,"GEN 8:1","And God remembered N"
40185,"GEN 8:2","The fountains also o"
40186,"GEN 8:3","And the waters retur"
40187,"GEN 8:4","And the ark rested i"
40188,"GEN 8:5","And the waters decre"
40189,"GEN 8:6","And it came to pass "
40190,"GEN 8:7","And he sent forth a "
40191,"GEN 8:8","Also he sent forth a"
40192,"GEN 8:9","But the dove found n"
40193,"GEN 8:10","And he stayed yet ot"
40194,"GEN 8:11","And the dove came in"
40195,"GEN 8:12","And he stayed yet ot"
40196,"GEN 8:13","And it came to pass "
40197,"GEN 8:14","And in the second mo"
40198,"GEN 8:15","And God spake unto N"
40199,"GEN 8:16","Go forth of the ark,"
40200,"GEN 8:17","Bring forth with the"
40201,"GEN 8:18","And Noah went forth,"
40202,"GEN 8:19","Every beast, every c"
40203,"GEN 8:20","And Noah builded an "
40204,"GEN 8:21","And the LORD smelled"
40205,"GEN 8:22","While the earth rema"
40206,"GEN 9:1","And God blessed Noah"
40207,"GEN 9:2","And the fear of you "
40208,"GEN 9:3","Every moving thing t"
40209,"GEN 9:4","But flesh with the l"
40210,"GEN 9:5","And surely your bloo"
40211,"GEN 9:6","Whoso sheddeth man’s"
40212,"GEN 9:7","And you, be ye fruit"
40213,"GEN 9:8","And God spake unto N"
40214,"GEN 9:9","And I, behold, I est"
40215,"GEN 9:10","And with every livin"
40216,"GEN 9:11","And I will establish"
40217,"GEN 9:12","And God said, This i"
40218,"GEN 9:13","I do set my bow in t"
40219,"GEN 9:14","And it shall come to"
40220,"GEN 9:15","And I will remember "
40221,"GEN 9:16","And the bow shall be"
40222,"GEN 9:17","And God said unto No"
40223,"GEN 9:18","And the sons of Noah"
40224,"GEN 9:19","These are the three "
40225,"GEN 9:20","And Noah began to be"
40226,"GEN 9:21","And he drank of the "
40227,"GEN 9:22","And Ham, the father "
40228,"GEN 9:23","And Shem and Japheth"
40229,"GEN 9:24","And Noah awoke from "
40230,"GEN 9:25","And he said, Cursed "
40231,"GEN 9:26","And he said, Blessed"
40232,"GEN 9:27","God shall enlarge Ja"
40233,"GEN 9:28","And Noah lived after"
40234,"GEN 9:29","And all the days of "
40235,"GEN 10:1","Now these are the ge"
40236,"GEN 10:2","The sons of Japheth;"
40237,"GEN 10:3","And the sons of Gome"
40238,"GEN 10:4","And the sons of Java"
40239,"GEN 10:5","By these were the is"
40240,"GEN 10:6","And the sons of Ham;"
40241,"GEN 10:7","And the sons of Cush"
40242,"GEN 10:8","And Cush begat Nimro"
40243,"GEN 10:9","He was a mighty hunt"
40244,"GEN 10:10","And the beginning of"
40245,"GEN 10:11","Out of that land wen"
40246,"GEN 10:12","And Resen between Ni"
40247,"GEN 10:13","And Mizraim begat Lu"
40248,"GEN 10:14","And Pathrusim, and C"
40249,"GEN 10:15","And Canaan begat Sid"
40250,"GEN 10:16","And the Jebusite, an"
40251,"GEN 10:17","And the Hivite, and "
40252,"GEN 10:18","And the Arvadite, an"
40253,"GEN 10:19","And the border of th"
40254,"GEN 10:20","These are the sons o"
40255,"GEN 10:21","Unto Shem also, the "
40256,"GEN 10:22","The children of Shem"
40257,"GEN 10:23","And the children of "
40258,"GEN 10:24","And Arphaxad begat S"
40259,"GEN 10:25","And unto Eber were b"
40260,"GEN 10:26","And Joktan begat Alm"
40261,"GEN 10:27","And Hadoram, and Uza"
40262,"GEN 10:28","And Obal, and Abimae"
40263,"GEN 10:29","And Ophir, and Havil"
40264,"GEN 10:30","And their dwelling w"
40265,"GEN 10:31","These are the sons o"
40266,"GEN 10:32","These are the famili"
40267,"GEN 11:1","And the whole earth "
40268,"GEN 11:2","And it came to pass,"
40269,"GEN 11:3","And they said one to"
40270,"GEN 11:4","And they said, Go to"
40271,"GEN 11:5","And the LORD came do"
40272,"GEN 11:6","And the LORD said, B"
40273,"GEN 11:7","Go to, let us go dow"
40274,"GEN 11:8","So the LORD scattere"
40275,"GEN 11:9","Therefore is the nam"
40276,"GEN 11:10","These are the genera"
40277,"GEN 11:11","And Shem lived after"
40278,"GEN 11:12","And Arphaxad lived f"
40279,"GEN 11:13","And Arphaxad lived a"
40280,"GEN 11:14","And Salah lived thir"
40281,"GEN 11:15","And Salah lived afte"
40282,"GEN 11:16","And Eber lived four "
40283,"GEN 11:17","And Eber lived after"
40284,"GEN 11:18","And Peleg lived thir"
40285,"GEN 11:19","And Peleg lived afte"
40286,"GEN 11:20","And Reu lived two an"
40287,"GEN 11:21","And Reu lived after "
40288,"GEN 11:22","And Serug lived thir"
40289,"GEN 11:23","And Serug lived afte"
40290,"GEN 11:24","And Nahor lived nine"
40291,"GEN 11:25","And Nahor lived afte"
40292,"GEN 11:26","And Terah lived seve"
40293,"GEN 11:27","Now these are the ge"
40294,"GEN 11:28","And Haran died befor"
40295,"GEN 11:29","And Abram and Nahor "
40296,"GEN 11:30","But Sarai was barren"
40297,"GEN 11:31","And Terah took Abram"
40298,"GEN 11:32","And the days of Tera"
40299,"GEN 12:1","Now the LORD had sai"
40300,"GEN 12:2","And I will make of t"
40301,"GEN 12:3","And I will bless the"
40302,"GEN 12:4","So Abram departed, a"
40303,"GEN 12:5","And Abram took Sarai"
40304,"GEN 12:6","And Abram passed thr"
40305,"GEN 12:7","And the LORD appeare"
40306,"GEN 12:8","And he removed from "
40307,"GEN 12:9","And Abram journeyed,"
40308,"GEN 12:10","And there was a fami"
40309,"GEN 12:11","And it came to pass,"
40310,"GEN 12:12","Therefore it shall c"
40311,"GEN 12:13","Say, I pray thee, th"
40312,"GEN 12:14","And it came to pass,"
40313,"GEN 12:15","The princes also of "
40314,"GEN 12:16","And he entreated Abr"
40315,"GEN 12:17","And the LORD plagued"
40316,"GEN 12:18","And Pharaoh called A"
40317,"GEN 12:19","Why saidst thou, She"
40318,"GEN 12:20","And Pharaoh commande"
40319,"GEN 13:1","And Abram went up ou"
40320,"GEN 13:2","And Abram was very r"
40321,"GEN 13:3","And he went on his j"
40322,"GEN 13:4","Unto the place of th"
40323,"GEN 13:5","And Lot also, which "
40324,"GEN 13:6","And the land was not"
40325,"GEN 13:7","And there was a stri"
40326,"GEN 13:8","And Abram said unto "
40327,"GEN 13:9","Is not the whole lan"
40328,"GEN 13:10","And Lot lifted up hi"
40329,"GEN 13:11","Then Lot chose him a"
40330,"GEN 13:12","Abram dwelled in the"
40331,"GEN 13:13","But the men of Sodom"
40332,"GEN 13:14","And the LORD said un"
40333,"GEN 13:15","For all the land whi"
40334,"GEN 13:16","And I will make thy "
40335,"GEN 13:17","Arise, walk through "
40336,"GEN 13:18","Then Abram removed h"
40337,"GEN 14:1","And it came to pass "
40338,"GEN 14:2","That these made war "
40339,"GEN 14:3","All these were joine"
40340,"GEN 14:4","Twelve years they se"
40341,"GEN 14:5","And in the fourteent"
40342,"GEN 14:6","And the Horites in t"
40343,"GEN 14:7","And they returned, a"
40344,"GEN 14:8","And there went out t"
40345,"GEN 14:9","With Chedorlaomer th"
40346,"GEN 14:10","And the vale of Sidd"
40347,"GEN 14:11","And they took all th"
40348,"GEN 14:12","And they took Lot, A"
40349,"GEN 14:13","And there came one t"
40350,"GEN 14:14","And when Abram heard"
40351,"GEN 14:15","And he divided himse"
40352,"GEN 14:16","And he brought back "
40353,"GEN 14:17","And the king of Sodo"
40354,"GEN 14:18","And Melchizedek king"
40355,"GEN 14:19","And he blessed him, "
40356,"GEN 14:20","And blessed be the m"
40357,"GEN 14:21","And the king of Sodo"
40358,"GEN 14:22","And Abram said to th"
40359,"GEN 14:23","That I will not take"
40360,"GEN 14:24","Save only that which"
40361,"GEN 15:1","After these things t"
40362,"GEN 15:2","And Abram said, LORD"
40363,"GEN 15:3","And Abram said, Beho"
40364,"GEN 15:4","And, behold, the wor"
40365,"GEN 15:5","And he brought him f"
40366,"GEN 15:6","And he believed in t"
40367,"GEN 15:7","And he said unto him"
